,8,12,13,14,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,121
-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,"('2', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,"('2', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('6', '2', '0', '0', '0')","('6', '0', '0', '0', '0')","('11', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('12', '1', '1', '0', '0')","('6', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('15', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('10', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('12', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '1', '0', '0', '0')",,,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,
-34,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,,,,"('2', '2', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('3', '1', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('5', '2', '0', '0', '0')","('4', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('6', '2', '0', '0', '0')","('10', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('14', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('11', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('5', '1', '1', '0', '0')","('8', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('11', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('7', '1', '0', '0', '0')","('8', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('13', '2', '0', '0', '0')","('10', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('6', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,"('1', '1', '0', '0', '0')",,,"('1', '0', '0', '0', '0')",,,,,,
-35,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,"('1', '1', '0', '0', '0')",,,"('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('3', '1', '0', '0', '0')",,"('3', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '1', '0', '0')","('2', '0', '0', '0', '0')",,"('4', '1', '0', '0', '0')","('4', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('7', '2', '0', '0', '0')","('10', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('16', '3', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('9', '2', '0', '0', '0')","('8', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('11', '1', '0', '0', '0')","('10', '1', '0', '0', '0')","('8', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('12', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('8', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('10', '2', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('11', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('12', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '2', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,"('1', '1', '0', '0', '0')",,,,,,,,"('1', '1', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,"('3', '2', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '2', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('8', '2', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('8', '0', '0', '0', '0')","('11', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('11', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('7', '2', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,
-38,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')",,,,,,,,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('7', '2', '0', '0', '0')","('6', '1', '0', '0', '0')","('8', '2', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('11', '1', '0', '0', '0')","('5', '0', '1', '0', '0')","('8', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('9', '1', '0', '0', '0')","('9', '0', '1', '0', '0')","('8', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')",,"('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')",,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,
-39,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,"('1', '0', '0', '0', '0')",,,,,,,"('2', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('3', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('11', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '2', '0', '0', '0')","('9', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('9', '3', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('12', '2', '0', '0', '0')","('7', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('12', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '2', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,"('1', '0', '0', '0', '0')","('4', '1', '0', '0', '0')",,,"('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')",,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('8', '1', '0', '0', '0')","('14', '1', '0', '0', '0')","('11', '2', '1', '0', '0')","('10', '0', '0', '0', '0')","('16', '1', '0', '0', '0')","('17', '2', '0', '0', '0')","('13', '1', '0', '0', '0')","('19', '3', '0', '0', '0')","('17', '1', '0', '0', '0')","('18', '1', '0', '0', '0')","('15', '0', '0', '0', '0')","('14', '3', '0', '0', '0')","('15', '3', '0', '0', '0')","('17', '2', '0', '0', '0')","('14', '1', '0', '0', '0')","('19', '4', '0', '0', '0')","('17', '3', '0', '0', '0')","('11', '3', '0', '0', '0')","('21', '2', '1', '0', '0')","('19', '4', '0', '0', '0')","('33', '4', '1', '0', '0')","('31', '7', '0', '0', '0')","('25', '4', '0', '0', '0')","('29', '3', '0', '0', '0')","('36', '5', '2', '0', '0')","('27', '8', '1', '0', '0')","('29', '9', '1', '0', '0')","('33', '12', '4', '0', '0')","('37', '9', '0', '0', '0')","('41', '10', '0', '0', '0')","('39', '7', '0', '0', '0')","('49', '21', '2', '0', '0')","('48', '18', '1', '0', '0')","('49', '16', '2', '0', '0')","('51', '24', '0', '0', '0')","('59', '19', '1', '0', '0')","('61', '15', '1', '0', '0')","('45', '16', '0', '0', '0')","('45', '11', '2', '0', '0')","('45', '19', '1', '0', '0')","('45', '11', '1', '0', '0')","('32', '15', '1', '0', '0')","('16', '5', '1', '0', '0')","('23', '9', '0', '0', '0')","('15', '5', '0', '0', '0')","('6', '1', '0', '0', '0')","('7', '4', '0', '0', '0')","('4', '1', '2', '0', '0')",,,,,,,
-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,"('2', '1', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('8', '1', '0', '0', '0')","('9', '1', '1', '0', '0')","('8', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('10', '2', '0', '0', '0')","('3', '0', '1', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('8', '2', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,
-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('1', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('11', '2', '0', '0', '0')","('7', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('7', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('3', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,,,"('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('1', '1', '0', '0', '0')",,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,"('1', '1', '0', '0', '0')",,"('1', '1', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '2', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('6', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('7', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '1', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '0', '1', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('10', '2', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '2', '0', '0', '0')","('4', '2', '0', '0', '0')","('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('5', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '1', '0', '0', '0')",,"('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,"('3', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '2', '0', '0', '0')","('1', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('5', '1', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('2', '1', '0', '0', '0')","('7', '2', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '2', '0', '0', '0')","('10', '2', '0', '0', '0')","('9', '1', '0', '0', '0')","('7', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '1', '0', '0', '0')",,,,,,,,"('4', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('5', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '2', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('8', '2', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,,,,,,,,,,,,,,,,,,
